Año,Edad,Peso
1972,17.0,59.15234375
1972,18.0,62.88061224489796
1972,19.0,65.56846153846153
1972,20.0,68.04297407912688
1972,21.0,71.02479338842976
1972,22.0,70.69429198682766
1972,23.0,72.07826086956521
1972,24.0,71.95568982880161
1972,25.0,71.1556854410202
1972,26.0,72.51188811188811
1972,27.0,72.36769230769231
1972,28.0,73.72304832713755
1972,29.0,73.53448275862068
1972,30.0,74.27285714285715
1972,31.0,73.70261437908496
1972,32.0,73.52709359605912
1972,33.0,74.6086956521739
1972,34.0,74.32589285714286
1972,35.0,75.78947368421052
1972,36.0,73.88
1972,37.0,74.68461538461538
1972,38.0,78.93333333333334
1972,39.0,75.01886792452831
1972,40.0,72.36842105263158
1972,41.0,81.21875
1972,42.0,78.37037037037037
1972,43.0,75.5
1972,44.0,76.75
1972,45.0,74.13333333333334
1972,46.0,71.84615384615384
1972,47.0,78.78947368421052
1972,48.0,81.0
1972,49.0,67.66666666666667
1972,50.0,73.0
1972,51.0,79.0
1972,52.0,86.5
1972,53.0,75.0
1972,54.0,76.0
1972,55.0,75.5
1972,57.0,72.0
1972,58.0,67.0
1972,59.0,80.0
1972,60.0,65.0
1972,61.0,73.0
1972,66.0,76.0
1972,69.0,66.0
1976,12.0,49.22222222222222
1976,13.0,47.10344827586207
1976,14.0,49.527272727272724
1976,15.0,55.41269841269841
1976,16.0,56.38754325259516
1976,17.0,59.77950310559006
1976,18.0,61.31837073981713
1976,19.0,65.9765625
1976,20.0,68.56532258064516
1976,21.0,69.72671568627452
1976,22.0,72.0220207253886
1976,23.0,70.89492325855963
1976,24.0,72.2761096605744
1976,25.0,73.36831275720165
1976,26.0,73.47666666666667
1976,27.0,74.07371225577265
1976,28.0,74.31885593220339
1976,29.0,74.01296829971182
1976,30.0,73.68150684931507
1976,31.0,75.76288659793815
1976,32.0,76.46428571428571
1976,33.0,74.77459016393442
1976,34.0,76.28947368421052
1976,35.0,74.59166666666667
1976,36.0,74.23
1976,37.0,72.5
1976,38.0,78.25555555555556
1976,39.0,71.88235294117646
1976,40.0,72.06451612903226
1976,41.0,74.75862068965517
1976,42.0,77.7
1976,43.0,68.14285714285714
1976,44.0,69.66666666666667
1976,45.0,74.28571428571429
1976,46.0,74.23076923076923
1976,47.0,76.0
1976,48.0,71.5
1976,49.0,74.85714285714286
1976,50.0,78.0
1976,51.0,73.2
1976,52.0,73.0
1976,53.0,71.6
1976,55.0,100.0
1976,56.0,68.0
1976,61.0,73.33333333333333
1976,65.0,73.0
1976,66.0,74.0
1976,70.0,76.0
1980,13.0,44.7
1980,14.0,41.94230769230769
1980,15.0,48.72727272727273
1980,16.0,56.778894472361806
1980,17.0,61.75365853658536
1980,18.0,64.81315789473685
1980,19.0,67.24175824175825
1980,20.0,69.56738768718802
1980,21.0,72.6897001303781
1980,22.0,71.73454301075269
1980,23.0,72.6064610866373
1980,24.0,72.4157060518732
1980,25.0,72.87402190923318
1980,26.0,74.39502762430939
1980,27.0,73.04813359528487
1980,28.0,75.78693181818181
1980,29.0,75.51143790849673
1980,30.0,73.77403846153847
1980,31.0,76.86363636363636
1980,32.0,73.33333333333333
1980,33.0,75.50520833333333
1980,34.0,73.53888888888889
1980,35.0,75.48
1980,36.0,74.15
1980,37.0,77.97058823529412
1980,38.0,77.71428571428571
1980,39.0,77.31818181818181
1980,40.0,70.86363636363636
1980,41.0,84.625
1980,42.0,78.25
1980,43.0,67.42857142857143
1980,44.0,75.0
1980,45.0,73.2
1980,46.0,74.42857142857143
1980,47.0,72.0
1980,48.0,68.25
1980,49.0,70.57142857142857
1980,50.0,69.33333333333333
1980,51.0,73.0
1980,56.0,99.0
1980,57.0,67.0
1980,59.0,100.0
1984,12.0,50.0
1984,13.0,47.833333333333336
1984,14.0,48.09756097560975
1984,15.0,51.54973821989529
1984,16.0,55.45067264573991
1984,17.0,61.28417266187051
1984,18.0,63.22857142857143
1984,19.0,67.33660130718954
